flight_date,airline_name,airline_iata,flights
2025-09-11,Southwest Airlines,WN,74
2025-09-11,American Airlines,AA,44
2025-09-11,Azul,AD,39
2025-09-11,Spirit Airlines,NK,39
2025-09-11,Delta Air Lines,DL,36
2025-09-11,United Airlines,UA,30
2025-09-11,Frontier Airlines,F9,28
2025-09-11,JetBlue Airways,B6,27
2025-09-11,LATAM Airlines,LA,26
2025-09-11,Gol,G3,21
2025-09-11,Virgin Atlantic,VS,21
2025-09-11,Qatar Airways,QR,17
2025-09-11,Air Canada,AC,16
2025-09-11,British Airways,BA,16
2025-09-11,Volaris,Y4,16
2025-09-11,Air New Zealand,NZ,14
2025-09-11,Aer Lingus,EI,11
2025-09-11,Aeromexico,AM,10
2025-09-11,Air France,AF,9
2025-09-11,Hawaiian Airlines,HA,9
2025-09-11,KLM,KL,9
2025-09-11,Korean Air,KE,9
2025-09-11,Qantas,QF,8
2025-09-11,WestJet,WS,8
2025-09-11,TAP Air Portugal,TP,7
2025-09-11,Etihad Airways,EY,6
2025-09-11,Iberia,IB,6
2025-09-11,UPS Airlines,5X,6
2025-09-11,empty,,6
2025-09-11,ANA,NH,5
2025-09-11,Air Tahiti Nui,TN,5
2025-09-11,Copa Airlines,CM,5
2025-09-11,Icelandair,FI,5
2025-09-11,Japan Airlines,JL,5
2025-09-11,Alaska Airlines,AS,4
2025-09-11,AlphaSky,AS,4
2025-09-11,El Al,LY,4
2025-09-11,LOT - Polish Airlines,LO,4
2025-09-11,Malaysia Airlines,MH,4
2025-09-11,Air Canada Rouge,RV,3
2025-09-11,Breeze Airways,MX,3
2025-09-11,Brussels Airlines,SN,3
2025-09-11,Cathay Pacific,CX,3
2025-09-11,DHL Air,D0,3
2025-09-11,FedEx,FX,3
2025-09-11,Lufthansa,LH,3
2025-09-11,NetJets Aviation,1I,3
2025-09-11,Alitalia,AZ,2
2025-09-11,Avelo Airlines,XP,2
2025-09-11,Fiji Airways,FJ,2
2025-09-11,Flexjet,LXJ,2
2025-09-11,Gulf Air,GF,2
2025-09-11,Mountain Air Cargo,C2,2
2025-09-11,Philippine Airlines,PR,2
2025-09-11,SA AVIANCA,AV,2
2025-09-11,SWISS,LX,2
2025-09-11,Singapore Airlines,SQ,2
2025-09-11,Turkish Airlines,TK,2
2025-09-11,Virgin Australia,VA,2
2025-09-11,21 Air,2I,1
2025-09-11,Air Europa,UX,1
2025-09-11,Air Serbia,JU,1
2025-09-11,Allegiant Air,G4,1
2025-09-11,Austrian,OS,1
2025-09-11,EuroAtlantic Airways,YU,1
2025-09-11,Finnair,AY,1
2025-09-11,National Airlines,N8,1
2025-09-11,Norse,N0,1
2025-09-11,Norse UK,Z0,1
2025-09-11,Quest Diagnostics,LBQ,1
2025-09-11,Royal Air Maroc,AT,1
2025-09-11,SAS,SK,1
2025-09-11,Saudia,SV,1
2025-09-11,Sun Country Airlines,SY,1
2025-09-11,,A1,1
2025-09-12,Southwest Airlines,WN,73
2025-09-12,Delta Air Lines,DL,47
2025-09-12,American Airlines,AA,37
2025-09-12,Spirit Airlines,NK,36
2025-09-12,LATAM Airlines,LA,33
2025-09-12,Frontier Airlines,F9,31
2025-09-12,Virgin Atlantic,VS,26
2025-09-12,Azul,AD,25
2025-09-12,United Airlines,UA,25
2025-09-12,JetBlue Airways,B6,23
2025-09-12,Volaris,Y4,21
2025-09-12,Aeromexico,AM,16
2025-09-12,Air France,AF,15
2025-09-12,WestJet,WS,15
2025-09-12,KLM,KL,14
2025-09-12,Qatar Airways,QR,13
2025-09-12,Breeze Airways,MX,12
2025-09-12,Hawaiian Airlines,HA,12
2025-09-12,British Airways,BA,11
2025-09-12,Air New Zealand,NZ,10
2025-09-12,Aer Lingus,EI,9
2025-09-12,Air Canada,AC,9
2025-09-12,Gol,G3,9
2025-09-12,Iberia,IB,9
2025-09-12,Qantas,QF,9
2025-09-12,Brussels Airlines,SN,7
2025-09-12,Korean Air,KE,7
2025-09-12,Alaska Airlines,AS,6
2025-09-12,Copa Airlines,CM,6
2025-09-12,Japan Airlines,JL,5
2025-09-12,Lufthansa,LH,5
2025-09-12,SAS,SK,5
2025-09-12,Air Tahiti Nui,TN,4
2025-09-12,AlphaSky,AS,4
2025-09-12,Austrian,OS,4
2025-09-12,Etihad Airways,EY,4
2025-09-12,Icelandair,FI,4
2025-09-12,TAP Air Portugal,TP,4
2025-09-12,Air Canada Rouge,RV,3
2025-09-12,Finnair,AY,3
2025-09-12,SA AVIANCA,AV,3
2025-09-12,SWISS,LX,3
2025-09-12,empty,,3
2025-09-12,21 Air,2I,2
2025-09-12,Aerolineas Argentinas,AR,2
2025-09-12,Air Europa,UX,2
2025-09-12,Air Transat,TS,2
2025-09-12,Alitalia,AZ,2
2025-09-12,Avelo Airlines,XP,2
2025-09-12,Discover Airlines,4Y,2
2025-09-12,FedEx,FX,2
2025-09-12,Malaysia Airlines,MH,2
2025-09-12,NetJets Aviation,1I,2
2025-09-12,Philippine Airlines,PR,2
2025-09-12,Porter,PD,2
2025-09-12,Royal Air Maroc,AT,2
2025-09-12,Singapore Airlines,SQ,2
2025-09-12,UPS Airlines,5X,2
2025-09-12,Ultimate Air Shuttle,UE,2
2025-09-12,Virgin Australia,VA,2
2025-09-12,21 Air,D0,1
2025-09-12,ANA,NH,1
2025-09-12,Aircraft Management Group,,1
2025-09-12,Allegiant Air,G4,1
2025-09-12,Amerijet International,M6,1
2025-09-12,Bahamasair,UP,1
2025-09-12,Baker Aviation,,1
2025-09-12,Baron Aviation Services,BVN,1
2025-09-12,China Southern Airlines,CZ,1
2025-09-12,DHL Air,D0,1
