flight_date,destination,flights
2025-09-25,ATL,41
2025-09-25,LAX,32
2025-09-25,JFK,28
2025-09-25,ORD,21
2025-09-25,MIA,18
2025-09-25,PHL,18
2025-09-25,BOS,14
2025-09-25,IAD,11
2025-09-25,CLT,10
2025-09-25,SEA,10
2025-09-25,SFO,10
2025-09-25,IAH,9
2025-09-25,SLC,9
2025-09-25,BWI,7
2025-09-25,DFW,7
2025-09-26,ATL,42
2025-09-26,JFK,34
2025-09-26,BOS,30
2025-09-26,EWR,27
2025-09-26,ORD,23
2025-09-26,DFW,21
2025-09-26,PHL,16
2025-09-26,MIA,14
2025-09-26,SJU,14
2025-09-26,DTW,13
2025-09-26,LGA,11
2025-09-26,LAX,10
2025-09-26,SFO,10
2025-09-26,CVG,9
2025-09-26,DEN,9
2025-09-27,ATL,50
2025-09-27,JFK,29
2025-09-27,LAX,29
2025-09-27,EWR,28
2025-09-27,BOS,27
2025-09-27,ORD,26
2025-09-27,PHL,20
2025-09-27,DFW,17
2025-09-27,SFO,16
2025-09-27,IAH,15
2025-09-27,IAD,12
2025-09-27,LGA,11
2025-09-27,DTW,9
2025-09-27,BOG,7
2025-09-27,SJU,7
2025-09-28,ATL,56
2025-09-28,ORD,33
2025-09-28,BOS,25
2025-09-28,JFK,21
2025-09-28,DTW,20
2025-09-28,LAX,19
2025-09-28,DFW,18
2025-09-28,MIA,13
2025-09-28,EWR,12
2025-09-28,DCA,10
2025-09-28,SFO,10
2025-09-28,SJU,10
2025-09-28,LGA,9
2025-09-28,BNA,8
2025-09-28,CVG,8
2025-09-29,ORD,53
2025-09-29,ATL,44
2025-09-29,BOS,32
2025-09-29,JFK,31
2025-09-29,EWR,19
2025-09-29,IAD,16
2025-09-29,LAX,16
2025-09-29,MIA,15
2025-09-29,LGA,13
2025-09-29,PHL,13
2025-09-29,YYZ,11
2025-09-29,DTW,10
2025-09-29,SFO,10
2025-09-29,SLC,10
2025-09-29,DFW,9
2025-09-30,JFK,38
2025-09-30,ATL,28
2025-09-30,MIA,19
2025-09-30,ORD,13
2025-09-30,PHL,13
2025-09-30,DEN,12
2025-09-30,EWR,12
2025-09-30,LAX,12
2025-09-30,LGA,11
2025-09-30,BOS,10
2025-09-30,DFW,10
2025-09-30,MSP,10
2025-09-30,SJU,8
2025-09-30,CLT,7
2025-09-30,SEA,7
2025-10-01,ATL,48
2025-10-01,LAX,32
2025-10-01,BOS,23
2025-10-01,ORD,23
2025-10-01,JFK,22
2025-10-01,PHL,21
2025-10-01,EWR,19
2025-10-01,MIA,16
2025-10-01,DTW,11
2025-10-01,IAD,11
2025-10-01,DFW,10
2025-10-01,SLC,9
2025-10-01,LGA,8
2025-10-01,DCA,7
2025-10-01,LGW,7
