flight_date,origin,flights
2025-08-14,JFK,15
2025-08-14,LAX,11
2025-08-14,ATL,10
2025-08-14,RDU,9
2025-08-14,BOS,8
2025-08-14,DCA,7
2025-08-14,SAN,7
2025-08-14,FRA,6
2025-08-14,SEA,6
2025-08-14,IAD,5
2025-08-14,LGA,5
2025-08-14,ORD,5
2025-08-14,PHL,5
2025-08-14,SJU,5
2025-08-14,CVG,4
2025-08-15,JFK,37
2025-08-15,ATL,33
2025-08-15,ORD,33
2025-08-15,BOS,22
2025-08-15,EWR,22
2025-08-15,IAH,18
2025-08-15,PHL,17
2025-08-15,DFW,13
2025-08-15,TPA,13
2025-08-15,MIA,12
2025-08-15,SJU,12
2025-08-15,DEN,11
2025-08-15,CLT,10
2025-08-15,DTW,9
2025-08-15,IAD,9
2025-08-16,ATL,22
2025-08-16,JFK,21
2025-08-16,BOS,16
2025-08-16,ORD,14
2025-08-16,PHL,14
2025-08-16,EWR,12
2025-08-16,MIA,12
2025-08-16,SJU,8
2025-08-16,BDL,7
2025-08-16,BUF,7
2025-08-16,DEN,7
2025-08-16,CLT,6
2025-08-16,DFW,6
2025-08-16,SRQ,6
2025-08-16,YYZ,6
2025-08-17,JFK,50
2025-08-17,ORD,29
2025-08-17,BOS,26
2025-08-17,EWR,21
2025-08-17,DFW,18
2025-08-17,IAH,15
2025-08-17,MIA,14
2025-08-17,LAX,12
2025-08-17,PHL,10
2025-08-17,YYZ,9
2025-08-17,ATL,8
2025-08-17,SLC,8
2025-08-17,BDL,7
2025-08-17,DEN,7
2025-08-17,LGA,7
2025-08-18,JFK,53
2025-08-18,BOS,43
2025-08-18,ATL,31
2025-08-18,EWR,31
2025-08-18,ORD,31
2025-08-18,DFW,21
2025-08-18,LGA,20
2025-08-18,PHL,18
2025-08-18,MIA,17
2025-08-18,SJU,17
2025-08-18,IAH,16
2025-08-18,LAX,16
2025-08-18,DEN,15
2025-08-18,LGW,13
2025-08-18,YYZ,12
2025-08-19,JFK,47
2025-08-19,ATL,40
2025-08-19,ORD,33
2025-08-19,BOS,31
2025-08-19,LAX,24
2025-08-19,EWR,23
2025-08-19,PHL,21
2025-08-19,DFW,20
2025-08-19,MIA,20
2025-08-19,IAH,17
2025-08-19,DEN,14
2025-08-19,IAD,14
2025-08-19,LGW,14
2025-08-19,SJU,13
2025-08-19,CLT,11
2025-08-20,ORD,32
2025-08-20,LAX,28
2025-08-20,JFK,26
2025-08-20,ATL,25
2025-08-20,BOS,24
2025-08-20,DFW,17
2025-08-20,EWR,16
2025-08-20,IAH,16
2025-08-20,DEN,14
2025-08-20,LHR,11
2025-08-20,MIA,11
2025-08-20,PHL,11
2025-08-20,CLT,10
2025-08-20,IAD,10
2025-08-20,LGW,10
